"code_ward";"name";"code_district"
"00340";"Phường Yên Sở";"008"
"00343";"Phường Nhân Chính";"009"
"00346";"Phường Thượng Đình";"009"
"00349";"Phường Khương Trung";"009"
"00352";"Phường Khương Mai";"009"
"00355";"Phường Thanh Xuân Trung";"009"
"00358";"Phường Phương Liệt";"009"
"00361";"Phường Hạ Đình";"009"
"00364";"Phường Khương Đình";"009"
"00367";"Phường Thanh Xuân Bắc";"009"
"00370";"Phường Thanh Xuân Nam";"009"
"00373";"Phường Kim Giang";"009"
"00376";"Thị trấn Sóc Sơn";"016"
"00379";"Xã Bắc Sơn";"016"
"00382";"Xã Minh Trí";"016"
"00385";"Xã Hồng Kỳ";"016"
"00388";"Xã Nam Sơn";"016"
"00391";"Xã Trung Giã";"016"
"00394";"Xã Tân Hưng";"016"
"00397";"Xã Minh Phú";"016"
"00400";"Xã Phù Linh";"016"
"00403";"Xã Bắc Phú";"016"
"00406";"Xã Tân Minh";"016"
"00409";"Xã Quang Tiến";"016"
"00412";"Xã Hiền Ninh";"016"
"00415";"Xã Tân Dân";"016"
"00418";"Xã Tiên Dược";"016"
"00421";"Xã Việt Long";"016"
"00424";"Xã Xuân Giang";"016"
"00427";"Xã Mai Đình";"016"
"00430";"Xã Đức Hoà";"016"
"00433";"Xã Thanh Xuân";"016"
"00436";"Xã Đông Xuân";"016"
"00439";"Xã Kim Lũ";"016"
"00442";"Xã Phú Cường";"016"
"00445";"Xã Phú Minh";"016"
"00448";"Xã Phù Lỗ";"016"
"00451";"Xã Xuân Thu";"016"
"00454";"Thị trấn Đông Anh";"017"
"00457";"Xã Xuân Nộn";"017"
"00460";"Xã Thuỵ Lâm";"017"
"00463";"Xã Bắc Hồng";"017"
"00466";"Xã Nguyên Khê";"017"
"00469";"Xã Nam Hồng";"017"
"00472";"Xã Tiên Dương";"017"
"00475";"Xã Vân Hà";"017"
"00478";"Xã Uy Nỗ";"017"
"00481";"Xã Vân Nội";"017"
"00484";"Xã Liên Hà";"017"
"00487";"Xã Việt Hùng";"017"
"00490";"Xã Kim Nỗ";"017"
"00493";"Xã Kim Chung";"017"
"00496";"Xã Dục Tú";"017"
"00499";"Xã Đại Mạch";"017"
"00502";"Xã Vĩnh Ngọc";"017"
"00505";"Xã Cổ Loa";"017"
"00508";"Xã Hải Bối";"017"
"00511";"Xã Xuân Canh";"017"
"00514";"Xã Võng La";"017"
"00517";"Xã Tàm Xá";"017"
"00520";"Xã Mai Lâm";"017"
"00523";"Xã Đông Hội";"017"
"00526";"Thị trấn Yên Viên";"018"
"00529";"Xã Yên Thường";"018"
"00532";"Xã Yên Viên";"018"
"00535";"Xã Ninh Hiệp";"018"
"00538";"Xã Đình Xuyên";"018"
"00541";"Xã Dương Hà";"018"
"00544";"Xã Phù Đổng";"018"
"00547";"Xã Trung Mầu";"018"
"00550";"Xã Lệ Chi";"018"
"00553";"Xã Cổ Bi";"018"
"00556";"Xã Đặng Xá";"018"
"00559";"Xã Phú Thị";"018"
"00562";"Xã Kim Sơn";"018"
"00565";"Thị trấn Trâu Quỳ";"018"
"00568";"Xã Dương Quang";"018"
"00571";"Xã Dương Xá";"018"
"00574";"Xã Đông Dư";"018"
"00577";"Xã Đa Tốn";"018"
"00580";"Xã Kiêu Kỵ";"018"
"00583";"Xã Bát Tràng";"018"
"00586";"Xã Kim Lan";"018"
"00589";"Xã Văn Đức";"018"
"00592";"Phường Cầu Diễn";"019"
"00595";"Phường Thượng Cát";"021"
"00598";"Phường Liên Mạc";"021"
"00601";"Phường Đông Ngạc";"021"
"00602";"Phường Đức Thắng";"021"
"00604";"Phường Thụy Phương";"021"
"00607";"Phường Tây Tựu";"021"
"00610";"Phường Xuân Đỉnh";"021"
"00611";"Phường Xuân Tảo";"021"
"00613";"Phường Minh Khai";"021"
"00616";"Phường Cổ Nhuế 1";"021"
"00617";"Phường Cổ Nhuế 2";"021"
"00619";"Phường Phú Diễn";"021"
"00620";"Phường Phúc Diễn";"021"
"00622";"Phường Xuân Phương";"019"
"00623";"Phường Phương Canh";"019"
"00625";"Phường Mỹ Đình 1";"019"
"00626";"Phường Mỹ Đình 2";"019"
"00628";"Phường Tây Mỗ";"019"
"00631";"Phường Mễ Trì";"019"
"00632";"Phường Phú Đô";"019"
"00634";"Phường Đại Mỗ";"019"
"00637";"Phường Trung Văn";"019"
"00640";"Thị trấn Văn Điển";"020"
"00643";"Xã Tân Triều";"020"
"00646";"Xã Thanh Liệt";"020"
"00649";"Xã Tả Thanh Oai";"020"
"00652";"Xã Hữu Hoà";"020"
"00655";"Xã Tam Hiệp";"020"
"00658";"Xã Tứ Hiệp";"020"
"00661";"Xã Yên Mỹ";"020"
"00664";"Xã Vĩnh Quỳnh";"020"
"00667";"Xã Ngũ Hiệp";"020"
"00670";"Xã Duyên Hà";"020"
"00673";"Xã Ngọc Hồi";"020"
"00676";"Xã Vạn Phúc";"020"
"00679";"Xã Đại áng";"020"
"00682";"Xã Liên Ninh";"020"
"00685";"Xã Đông Mỹ";"020"
"00688";"Phường Quang Trung";"024"
"00691";"Phường Trần Phú";"024"
"00692";"Phường Ngọc Hà";"024"
"00694";"Phường Nguyễn Trãi";"024"
"00697";"Phường Minh Khai";"024"
"00700";"Xã Ngọc Đường";"024"
"00703";"Xã Kim Thạch";"030"
"00706";"Xã Phú Linh";"030"
"00709";"Xã Kim Linh";"030"
"00712";"Thị trấn Phó Bảng";"026"
"00715";"Xã Lũng Cú";"026"
"00718";"Xã Má Lé";"026"
"00721";"Thị trấn Đồng Văn";"026"
"00724";"Xã Lũng Táo";"026"
"00727";"Xã Phố Là";"026"
"00730";"Xã Thài Phìn Tủng";"026"
"00733";"Xã Sủng Là";"026"
"00736";"Xã Xà Phìn";"026"
"00739";"Xã Tả Phìn";"026"
"00742";"Xã Tả Lủng";"026"
"00745";"Xã Phố Cáo";"026"
"00748";"Xã Sính Lủng";"026"
"00751";"Xã Sảng Tủng";"026"
"00754";"Xã Lũng Thầu";"026"
"00757";"Xã Hố Quáng Phìn";"026"
"00760";"Xã Vần Chải";"026"
"00763";"Xã Lũng Phìn";"026"
"00766";"Xã Sủng Trái";"026"
"00769";"Thị trấn Mèo Vạc";"027"
"00772";"Xã Thượng Phùng";"027"
"00775";"Xã Pải Lủng";"027"
"00778";"Xã Xín Cái";"027"
"00781";"Xã Pả Vi";"027"
"00784";"Xã Giàng Chu Phìn";"027"
"00787";"Xã Sủng Trà";"027"
"00790";"Xã Sủng Máng";"027"
"00793";"Xã Sơn Vĩ";"027"
"00796";"Xã Tả Lủng";"027"
"00799";"Xã Cán Chu Phìn";"027"
"00802";"Xã Lũng Pù";"027"
"00805";"Xã Lũng Chinh";"027"
"00808";"Xã Tát Ngà";"027"
"00811";"Xã Nậm Ban";"027"
"00814";"Xã Khâu Vai";"027"
"00815";"Xã Niêm Tòng";"027"
"00817";"Xã Niêm Sơn";"027"
"00820";"Thị trấn Yên Minh";"028"
"00823";"Xã Thắng Mố";"028"
"00826";"Xã Phú Lũng";"028"
"00829";"Xã Sủng Tráng";"028"
"00832";"Xã Bạch Đích";"028"
"00835";"Xã Na Khê";"028"
"00838";"Xã Sủng Thài";"028"
"00841";"Xã Hữu Vinh";"028"
"00844";"Xã Lao Và Chải";"028"
"00847";"Xã Mậu Duệ";"028"
"00850";"Xã Đông Minh";"028"
"00853";"Xã Mậu Long";"028"
"00856";"Xã Ngam La";"028"
"00859";"Xã Ngọc Long";"028"
"00862";"Xã Đường Thượng";"028"
"00865";"Xã Lũng Hồ";"028"
"00868";"Xã Du Tiến";"028"
"00871";"Xã Du Già";"028"
"00874";"Thị trấn Tam Sơn";"029"
"00877";"Xã Bát Đại Sơn";"029"
"00880";"Xã Nghĩa Thuận";"029"
"00883";"Xã Cán Tỷ";"029"
"00886";"Xã Cao Mã Pờ";"029"
"00889";"Xã Thanh Vân";"029"
"00892";"Xã Tùng Vài";"029"
"00895";"Xã Đông Hà";"029"
"00898";"Xã Quản Bạ";"029"
"00901";"Xã Lùng Tám";"029"
"00904";"Xã Quyết Tiến";"029"
"00907";"Xã Tả Ván";"029"
"00910";"Xã Thái An";"029"
"00913";"Thị trấn Vị Xuyên";"030"
"00916";"Thị trấn Nông Trường Việt Lâm";"030"
"00919";"Xã Minh Tân";"030"
"00922";"Xã Thuận Hoà";"030"
"00925";"Xã Tùng Bá";"030"
"00928";"Xã Thanh Thủy";"030"
"00931";"Xã Thanh Đức";"030"
"00934";"Xã Phong Quang";"030"
"00937";"Xã Xín Chải";"030"
"00940";"Xã Phương Tiến";"030"
"00943";"Xã Lao Chải";"030"
"00946";"Xã Phương Độ";"024"
"00949";"Xã Phương Thiện";"024"
"00952";"Xã Cao Bồ";"030"
"00955";"Xã Đạo Đức";"030"
"00958";"Xã Thượng Sơn";"030"
"00961";"Xã Linh Hồ";"030"
"00964";"Xã Quảng Ngần";"030"
"00967";"Xã Việt Lâm";"030"
"00970";"Xã Ngọc Linh";"030"
"00973";"Xã Ngọc Minh";"030"
"00976";"Xã Bạch Ngọc";"030"
"00979";"Xã Trung Thành";"030"
"00982";"Xã Minh Sơn";"031"
"00985";"Xã Giáp Trung";"031"
"00988";"Xã Yên Định";"031"
"00991";"Thị trấn Yên Phú";"031"
"00994";"Xã Minh Ngọc";"031"
"00997";"Xã Yên Phong";"031"
"01000";"Xã Lạc Nông";"031"
"01003";"Xã Phú Nam";"031"
"01006";"Xã Yên Cường";"031"
"01009";"Xã Thượng Tân";"031"
"01012";"Xã Đường Âm";"031"
"01015";"Xã Đường Hồng";"031"
"01018";"Xã Phiêng Luông";"031"
"01021";"Thị trấn Vinh Quang";"032"
"01024";"Xã Bản Máy";"032"
"01027";"Xã Thàng Tín";"032"
"01030";"Xã Thèn Chu Phìn";"032"
"01033";"Xã Pố Lồ";"032"
"01036";"Xã Bản Phùng";"032"
"01039";"Xã Túng Sán";"032"
"01042";"Xã Chiến Phố";"032"
"01045";"Xã Đản Ván";"032"
"01048";"Xã Tụ Nhân";"032"
"01051";"Xã Tân Tiến";"032"
"01054";"Xã Nàng Đôn";"032"
"01057";"Xã Pờ Ly Ngài";"032"
"01060";"Xã Sán Xả Hồ";"032"
"01063";"Xã Bản Luốc";"032"
"01066";"Xã Ngàm Đăng Vài";"032"
"01069";"Xã Bản Nhùng";"032"
"01072";"Xã Tả Sử Choóng";"032"
"01075";"Xã Nậm Dịch";"032"
"01081";"Xã Hồ Thầu";"032"
"01084";"Xã Nam Sơn";"032"
"01087";"Xã Nậm Tỵ";"032"
"01090";"Xã Thông Nguyên";"032"
"01093";"Xã Nậm Khòa";"032"
"01096";"Thị trấn Cốc Pài";"033"
"01099";"Xã Nàn Xỉn";"033"
"01102";"Xã Bản Díu";"033"
"01105";"Xã Chí Cà";"033"
"01108";"Xã Xín Mần";"033"
"01114";"Xã Thèn Phàng";"033"
"01117";"Xã Trung Thịnh";"033"
"01120";"Xã Pà Vầy Sủ";"033"
"01123";"Xã Cốc Rế";"033"
"01126";"Xã Thu Tà";"033"
"01129";"Xã Nàn Ma";"033"
"01132";"Xã Tả Nhìu";"033"
"01135";"Xã Bản Ngò";"033"
"01138";"Xã Chế Là";"033"
"01141";"Xã Nấm Dẩn";"033"
"01144";"Xã Quảng Nguyên";"033"
"01147";"Xã Nà Chì";"033"
"01150";"Xã Khuôn Lùng";"033"
"01153";"Thị trấn Việt Quang";"034"
"01156";"Thị trấn Vĩnh Tuy";"034"
"01159";"Xã Tân Lập";"034"
"01162";"Xã Tân Thành";"034"
"01165";"Xã Đồng Tiến";"034"
"01168";"Xã Đồng Tâm";"034"
"01171";"Xã Tân Quang";"034"
"01174";"Xã Thượng Bình";"034"
"01177";"Xã Hữu Sản";"034"
"01180";"Xã Kim Ngọc";"034"
"01183";"Xã Việt Vinh";"034"
"01186";"Xã Bằng Hành";"034"
"01189";"Xã Quang Minh";"034"
"01192";"Xã Liên Hiệp";"034"
"01195";"Xã Vô Điếm";"034"
"01198";"Xã Việt Hồng";"034"
"01201";"Xã Hùng An";"034"
"01204";"Xã Đức Xuân";"034"
"01207";"Xã Tiên Kiều";"034"
"01210";"Xã Vĩnh Hảo";"034"
"01213";"Xã Vĩnh Phúc";"034"
"01216";"Xã Đồng Yên";"034"
"01219";"Xã Đông Thành";"034"
"01222";"Xã Xuân Minh";"035"
"01225";"Xã Tiên Nguyên";"035"
"01228";"Xã Tân Nam";"035"
"01231";"Xã Bản Rịa";"035"
"01234";"Xã Yên Thành";"035"
"01237";"Thị trấn Yên Bình";"035"
"01240";"Xã Tân Trịnh";"035"
"01243";"Xã Tân Bắc";"035"
"01246";"Xã Bằng Lang";"035"
"01249";"Xã Yên Hà";"035"
"01252";"Xã Hương Sơn";"035"
"01255";"Xã Xuân Giang";"035"
"01258";"Xã Nà Khương";"035"
"01261";"Xã Tiên Yên";"035"
"01264";"Xã Vĩ Thượng";"035"
"01267";"Phường Sông Hiến";"040"
"01270";"Phường Sông Bằng";"040"
"01273";"Phường Hợp Giang";"040"
"01276";"Phường Tân Giang";"040"
"01279";"Phường Ngọc Xuân";"040"
"01282";"Phường Đề Thám";"040"
"01285";"Phường Hoà Chung";"040"
"01288";"Phường Duyệt Trung";"040"
"01290";"Thị trấn Pác Miầu";"042"
"01291";"Xã Đức Hạnh";"042"
"01294";"Xã Lý Bôn";"042"
"01296";"Xã Nam Cao";"042"
"01297";"Xã Nam Quang";"042"
"01300";"Xã Vĩnh Quang";"042"
"01303";"Xã Quảng Lâm";"042"
"01304";"Xã Thạch Lâm";"042"
"01309";"Xã Vĩnh Phong";"042"
"01312";"Xã Mông Ân";"042"
"01315";"Xã Thái Học";"042"
"01316";"Xã Thái Sơn";"042"
"01318";"Xã Yên Thổ";"042"
"01321";"Thị trấn Bảo Lạc";"043"
"01324";"Xã Cốc Pàng";"043"
"01327";"Xã Thượng Hà";"043"
"01330";"Xã Cô Ba";"043"
"01333";"Xã Bảo Toàn";"043"
"01336";"Xã Khánh Xuân";"043"
"01339";"Xã Xuân Trường";"043"
"01342";"Xã Hồng Trị";"043"
"01343";"Xã Kim Cúc";"043"
"01345";"Xã Phan Thanh";"043"
"01348";"Xã Hồng An";"043"
"01351";"Xã Hưng Đạo";"043"
"01352";"Xã Hưng Thịnh";"043"
"01354";"Xã Huy Giáp";"043"
"01357";"Xã Đình Phùng";"043"
"01359";"Xã Sơn Lập";"043"
"01360";"Xã Sơn Lộ";"043"
"01363";"Thị trấn Thông Nông";"045"
"01366";"Xã Cần Yên";"045"
"01367";"Xã Cần Nông";"045"
"01372";"Xã Lương Thông";"045"
"01375";"Xã Đa Thông";"045"
"01378";"Xã Ngọc Động";"045"
"01381";"Xã Yên Sơn";"045"
"01384";"Xã Lương Can";"045"
"01387";"Xã Thanh Long";"045"
"01392";"Thị trấn Xuân Hòa";"045"
"01393";"Xã Lũng Nặm";"045"
"01399";"Xã Trường Hà";"045"
"01402";"Xã Cải Viên";"045"
"01411";"Xã Nội Thôn";"045"
"01414";"Xã Tổng Cọt";"045"
"01417";"Xã Sóc Hà";"045"
"01420";"Xã Thượng Thôn";"045"
"01429";"Xã Hồng Sỹ";"045"
"01432";"Xã Quý Quân";"045"
"01435";"Xã Mã Ba";"045"
"01438";"Xã Ngọc Đào";"045"
"01447";"Thị trấn Trà Lĩnh";"047"
"01453";"Xã Tri Phương";"047"
"01456";"Xã Quang Hán";"047"
"01462";"Xã Xuân Nội";"047"
"01465";"Xã Quang Trung";"047"
"01468";"Xã Quang Vinh";"047"
"01471";"Xã Cao Chương";"047"
"01474";"Xã Quốc Toản";"049"
"01477";"Thị trấn Trùng Khánh";"047"
"01480";"Xã Ngọc Khê";"047"
"01481";"Xã Ngọc Côn";"047"
"01483";"Xã Phong Nậm";"047"
"01489";"Xã Đình Phong";"047"
"01495";"Xã Đàm Thuỷ";"047"
"01498";"Xã Khâm Thành";"047"
"01501";"Xã Chí Viễn";"047"
"01504";"Xã Lăng Hiếu";"047"
"01507";"Xã Phong Châu";"047"
"01516";"Xã Trung Phúc";"047"
"01519";"Xã Cao Thăng";"047"
"01522";"Xã Đức Hồng";"047"
"01525";"Xã Đoài Dương";"047"
"01534";"Xã Minh Long";"048"
"01537";"Xã Lý Quốc";"048"
"01540";"Xã Thắng Lợi";"048"
"01543";"Xã Đồng Loan";"048"
"01546";"Xã Đức Quang";"048"
"01549";"Xã Kim Loan";"048"
"01552";"Xã Quang Long";"048"
"01555";"Xã An Lạc";"048"
"01558";"Thị trấn Thanh Nhật";"048"
"01561";"Xã Vinh Quý";"048"
"01564";"Xã Thống Nhất";"048"
"01567";"Xã Cô Ngân";"048"
"01573";"Xã Thị Hoa";"048"
"01576";"Thị trấn Quảng Uyên";"049"
"01579";"Xã Phi Hải";"049"
"01582";"Xã Quảng Hưng";"049"
"01594";"Xã Độc Lập";"049"
"01597";"Xã Cai Bộ";"049"
"01603";"Xã Phúc Sen";"049"
"01606";"Xã Chí Thảo";"049"
"01609";"Xã Tự Do";"049"
"01615";"Xã Hồng Quang";"049"
"01618";"Xã Ngọc Động";"049"
"01624";"Xã Hạnh Phúc";"049"
"01627";"Thị trấn Tà Lùng";"049"
"01630";"Xã Bế Văn Đàn";"049"
"01636";"Xã Cách Linh";"049"
"01639";"Xã Đại Sơn";"049"
"01645";"Xã Tiên Thành";"049"
"01648";"Thị trấn Hoà Thuận";"049"
"01651";"Xã Mỹ Hưng";"049"
"01654";"Thị trấn Nước Hai";"051"
"01657";"Xã Dân Chủ";"051"
"01660";"Xã Nam Tuấn";"051"
"01666";"Xã Đại Tiến";"051"
"01669";"Xã Đức Long";"051"
"01672";"Xã Ngũ Lão";"051"
"01675";"Xã Trương Lương";"051"
"01687";"Xã Hồng Việt";"051"
"01693";"Xã Vĩnh Quang";"040"
"01696";"Xã Hoàng Tung";"051"
"01699";"Xã Nguyễn Huệ";"051"
"01702";"Xã Quang Trung";"051"
"01705";"Xã Hưng Đạo";"040"
"01708";"Xã Bạch Đằng";"051"
"01711";"Xã Bình Dương";"051"
"01714";"Xã Lê Chung";"051"
"01720";"Xã Chu Trinh";"040"
"01723";"Xã Hồng Nam";"051"
"01726";"Thị trấn Nguyên Bình";"052"
"01729";"Thị trấn Tĩnh Túc";"052"
"01732";"Xã Yên Lạc";"052"
"01735";"Xã Triệu Nguyên";"052"
"01738";"Xã Ca Thành";"052"
"01744";"Xã Vũ Nông";"052"
"01747";"Xã Minh Tâm";"052"
"01750";"Xã Thể Dục";"052"
"01756";"Xã Mai Long";"052"
"01762";"Xã Vũ Minh";"052"
"01765";"Xã Hoa Thám";"052"
"01768";"Xã Phan Thanh";"052"
"01771";"Xã Quang Thành";"052"
"01774";"Xã Tam Kim";"052"
"01777";"Xã Thành Công";"052"
"01780";"Xã Thịnh Vượng";"052"
"01783";"Xã Hưng Đạo";"052"
"01786";"Thị trấn Đông Khê";"053"
"01789";"Xã Canh Tân";"053"
"01792";"Xã Kim Đồng";"053"
"01795";"Xã Minh Khai";"053"
"01801";"Xã Đức Thông";"053"
"01804";"Xã Thái Cường";"053"
"01807";"Xã Vân Trình";"053"
"01810";"Xã Thụy Hùng";"053"
"01813";"Xã Quang Trọng";"053"
"01816";"Xã Trọng Con";"053"
"01819";"Xã Lê Lai";"053"
"01822";"Xã Đức Long";"053"
"01828";"Xã Lê Lợi";"053"
"01831";"Xã Đức Xuân";"053"
"01834";"Phường Nguyễn Thị Minh Khai";"058"
"01837";"Phường Sông Cầu";"058"
"01840";"Phường Đức Xuân";"058"
"01843";"Phường Phùng Chí Kiên";"058"
"01846";"Phường Huyền Tụng";"058"
"01849";"Xã Dương Quang";"058"
"01852";"Xã Nông Thượng";"058"
"01855";"Phường Xuất Hóa";"058"
"01858";"Xã Bằng Thành";"060"
"01861";"Xã Nhạn Môn";"060"
"01864";"Xã Bộc Bố";"060"
"01867";"Xã Công Bằng";"060"
"01870";"Xã Giáo Hiệu";"060"
"01873";"Xã Xuân La";"060"
"01876";"Xã An Thắng";"060"
"01879";"Xã Cổ Linh";"060"
"01882";"Xã Nghiên Loan";"060"
"01885";"Xã Cao Tân";"060"
"01888";"Thị trấn Chợ Rã";"061"
"01891";"Xã Bành Trạch";"061"
"01894";"Xã Phúc Lộc";"061"
"01897";"Xã Hà Hiệu";"061"
"01900";"Xã Cao Thượng";"061"
"01906";"Xã Khang Ninh";"061"
"01909";"Xã Nam Mẫu";"061"
"01912";"Xã Thượng Giáo";"061"
"01915";"Xã Địa Linh";"061"
"01918";"Xã Yến Dương";"061"
"01921";"Xã Chu Hương";"061"
"01924";"Xã Quảng Khê";"061"
"01927";"Xã Mỹ Phương";"061"
"01930";"Xã Hoàng Trĩ";"061"
"01933";"Xã Đồng Phúc";"061"
"01936";"Thị trấn Nà Phặc";"062"
"01939";"Xã Thượng Ân";"062"
"01942";"Xã Bằng Vân";"062"
"01945";"Xã Cốc Đán";"062"
"01948";"Xã Trung Hoà";"062"
"01951";"Xã Đức Vân";"062"
"01954";"Xã Vân Tùng";"062"
"01957";"Xã Thượng Quan";"062"
"01960";"Xã Hiệp Lực";"062"
"01963";"Xã Thuần Mang";"062"
"01969";"Thị trấn Phủ Thông";"063"
"01975";"Xã Vi Hương";"063"
"01978";"Xã Sĩ Bình";"063"
"01981";"Xã Vũ Muộn";"063"
"01984";"Xã Đôn Phong";"063"
"01990";"Xã Lục Bình";"063"
"01993";"Xã Tân Tú";"063"
"01999";"Xã Nguyên Phúc";"063"
"02002";"Xã Cao Sơn";"063"
"02005";"Xã Quân Hà";"063"
"02008";"Xã Cẩm Giàng";"063"
"02011";"Xã Mỹ Thanh";"063"
"02014";"Xã Dương Phong";"063"
"02017";"Xã Quang Thuận";"063"
"02020";"Thị trấn Bằng Lũng";"064"
"02023";"Xã Xuân Lạc";"064"
"02026";"Xã Nam Cường";"064"
"02029";"Xã Đồng Lạc";"064"
"02032";"Xã Tân Lập";"064"
"02035";"Xã Bản Thi";"064"
"02038";"Xã Quảng Bạch";"064"
"02041";"Xã Bằng Phúc";"064"
"02044";"Xã Yên Thịnh";"064"
"02047";"Xã Yên Thượng";"064"
"02050";"Xã Phương Viên";"064"
"02053";"Xã Ngọc Phái";"064"
"02059";"Xã Đồng Thắng";"064"
"02062";"Xã Lương Bằng";"064"
"02065";"Xã Bằng Lãng";"064"
"02068";"Xã Đại Sảo";"064"
"02071";"Xã Nghĩa Tá";"064"
"02077";"Xã Yên Mỹ";"064"
"02080";"Xã Bình Trung";"064"
"02083";"Xã Yên Phong";"064"
"02086";"Thị trấn Đồng Tâm";"065"
"02089";"Xã Tân Sơn";"065"
"02092";"Xã Thanh Vận";"065"
"02095";"Xã Mai Lạp";"065"
"02098";"Xã Hoà Mục";"065"
"02101";"Xã Thanh Mai";"065"
"02104";"Xã Cao Kỳ";"065"
"02107";"Xã Nông Hạ";"065"
"02110";"Xã Yên Cư";"065"
"02113";"Xã Thanh Thịnh";"065"
"02116";"Xã Yên Hân";"065"
"02122";"Xã Như Cố";"065"
"02125";"Xã Bình Văn";"065"
"02131";"Xã Quảng Chu";"065"
"02137";"Xã Văn Vũ";"066"
"02140";"Xã Văn Lang";"066"
